Average interarrival time,Average service time teller1,Average service time teller 2,Utilization teller 1,Utilization teller 2,People who had to wait in line,Total average wait time,Lost Customers
2.5468597695003,1.419767296122741,1.2437071385912515,0.33447478650965606,0.17091537732850698,1.0,1.1362108600666758,0.0
3.4846847007988004,1.8979846032339656,1.5498512869153764,0.25417684072616786,0.2075550576291873,3.0,10.105863229374739,0.0
2.719048681550661,1.4236439104690255,1.1825067237468854,0.2617908094343364,0.19328765514701302,3.0,0.7829242864418653,0.0
2.3268720510990226,1.0163055651767667,1.7173286127072067,0.21838449705404897,0.3354735016470799,0.0,0.0,0.0
3.2860944715333953,1.6505543036900279,2.1640046008246636,0.23439943121778828,0.30731581896577054,4.0,6.805011114853695,0.0
3.950621193700882,1.2519108013155378,4.169132974421506,0.1706328658307758,0.40588874606012626,1.0,0.49698649541435547,0.0
3.451528502212447,0.8938695578988026,2.717728009898484,0.16648578440231934,0.22497097057611323,0.0,0.0,0.0
3.24012923902983,1.6436585132920152,1.7885399069818002,0.23872083553921516,0.25976304538756145,3.0,1.9500045043136467,0.0
2.106025600426288,0.8688932580560371,1.7287193483619658,0.17938038233685316,0.4282666504137419,3.0,0.6904744194682699,0.0
2.686851758092096,0.6307527949065107,1.4818075472582166,0.11737766942423376,0.24511256720110758,2.0,0.7236737787003462,0.0
